video_id,title,channel,published_at,views,likes,comments
LJVUBqU_8gc,शिव गौरा भजन | गौरा रूठ गई पीहर चली गई | Gora Ruth Gayi Pihar Chali Gayi | Shiv Gaura Bhajan #2026,Editor Ramsingh jaitpur 🎵,2026-08-18 00:45:11+00:00,118599,747,4
NPI5-d55lYM,Maadhia ra Sasura Ghara || Trailer || Maadhia Comedy,utkal cartoonworld,2026-08-19 01:30:03+00:00,297336,9668,97
Wr-nh-9KdxU,Carry vs FRIENDS STATUE Chunk Battle In Minecraft!,Karry Kraft,2026-08-19 07:24:36+00:00,695277,9196,434
J6Q8LEsgqQY,Aaj Kehna Zaroori Hai | Andaaz | Akshay Kumar | Lara Dutta | Udit Narayan | Alka Yagnik,DilSe Beats,2026-08-16 05:00:12+00:00,249059,244,2
NP5ebSjn-_I,"Mahakavya Shri Ramayan Katha | Teaser | Dev Sharma, Anjali Arora | Mahobiya Films | 25th Sept 2026",M SERIES,2026-08-18 10:22:54+00:00,390249,6145,3747
xc6t43BS2Dk,We Faked Our Death in Minecraft..,Carry Depie,2026-08-19 12:00:16+00:00,779520,14336,772
QnQnz9G2LNw,MALLEPOOLA PALLAKI (Song) | Ravi Teja | GV Prakash | Dappu Srinu | Shiva Nirvana | Irumudi,T-Series Telugu,2026-08-16 14:33:24+00:00,8289412,178581,4802
yNydA8kTUOk,Toxic English Trailer REVIEW | Deeksha Sharma,Filmi Indian,2026-08-19 16:54:16+00:00,248692,11329,1139
kwkPGYJkzek,🔴LIVE GTA 5 GAMEPLAY | RAAJOO GAMING,Raajoo Gaming,2026-08-20 01:54:06+00:00,837196,3116,0
7o3HZeYIJaA,LEGACY EP 10 | THE SOUNDS OF INDIA | @raftaarmusic x @KRSNAOfficial,Kalamkaar,2026-08-20 06:30:01+00:00,251790,21411,1998
OblfDuD_oN4,Family Drama - Trailer l Gibin Gopinath l Anjali Nair l Annie N Rose l Aneesh JL l Chattambees,Chattambees,2026-08-18 13:37:33+00:00,508726,29493,1869
YhlT3olnrbQ,GTA 5 LIVE  #gta5 #gtav #gaming,PAJI IS LIVE,2026-08-20 03:26:37+00:00,826586,2948,0
WebDvdCLdd8,#Video | Case लिहS तू लड़ | #Raushan Rohi & #Srishti Bharti | #Maghi #Rangdari Song 2026,Raushan Rohi Entertainment,2026-08-19 01:00:01+00:00,410380,25230,1751
8NiMCt2o-uQ,Khalifa Trailer - Prithviraj Sukumaran | Vysakh | Jinu V Abhraham | Jakes Bejoy,Sony Music Malayalam,2026-08-16 15:02:40+00:00,4002981,101135,5142
L-Az6_o6yJw,I MADE EVERY GOD ARMOUR IN MINECRAFT😱| Fleet Kingdom,Anshu Bisht,2026-08-19 07:30:34+00:00,756991,51406,3968
_NX9_GeYWJY,VIDEO | गोली चोली पर चलतौ - Rajeev Yadav - Khushi Kakkar - Goli Choli Par Chaltau - Magahi Song 2026,Bhojpuri Ganna Hits - Apex,2026-08-17 05:00:47+00:00,184778,582,3
wQAXX0y86Ko,Toxic English Trailer Review | Yogi Bolta Hai,YOGI BOLTA HAI,2026-08-20 03:15:57+00:00,301540,12384,353
mFoaalFEt2E,FIRE V/S ICE ELEMENTAL IN RIVALS ROBLOX !!,Shivang Mini,2026-08-20 09:37:53+00:00,135811,4801,4764
7KpwlP7SFnw,Allah Kare Dil Na Lage (Official Full Video) | Andaaz | Akshay & Priyanka | Sonu Nigam | Alka Yagnik,Shree Krishna International,2026-08-16 12:30:02+00:00,933120,2917,33
X1aFkAkFASk,Avengers: Doomsday | Special Look | In Theaters December 18,Marvel Entertainment,2026-08-15 04:06:21+00:00,31355626,1295618,57396
2I_SZq_vkHg,I Become Spiderman to Troll Friends in Roblox..,Karry Mini,2026-08-20 10:08:54+00:00,83824,1577,146
cro9lotnsAk,Pucho Zara Pucho | Raja Hindustani | Aamir Khan | Karisma Kapoor | Alka Yagnik | Kumar Sanu,HindiHits24,2026-08-16 12:38:29+00:00,204071,571,7
B9WysQte-Bs,"MANJAR | Official Teaser | Siddharth Menon, Onkar Bhojane, Tejas Raut | In Cinemas 18th Sept 2026",Rajshri Marathi,2026-08-19 05:41:12+00:00,45068,914,76
-Ku-mjcgUyY,THE RAILWAY CHAI WALA 😱| INDIAN HORROR GAME,NotGamerFleet,2026-08-20 07:30:21+00:00,163538,13507,1156
LxtmRwUX0rs,"Aap Ke Pyaar Mein Hum Savarne Lage | Raaz | Dino Morea, Malini Sharma, Alka Yagnik",Bollywood Music Masala,2026-08-17 12:45:35+00:00,741808,2124,25
Ol6pxDh51F4,Things you MISSED in Avengers Doomsday Special Look Trailer (தமிழ்),Mokka Commentry,2026-08-18 04:30:23+00:00,135098,9497,441
HvJ7DePAIMs,NO MORE POOPY BUSINESS | Shift At Midnight - Part 4,BeastBoyShub,2026-08-19 09:00:38+00:00,388848,27880,2223
rkV7--wYUJ8,"Toh Phir Aao - New Version | Lyric Video | Awarapan 2 | Emraan | Mithoon, Mustafa, Sayeed, Subodhh",Sony Music India,2026-08-17 10:48:13+00:00,2912054,45624,2081
87uSIcSLymQ,Khalifa Trailer Reaction | Prithviraj Sukumaran | Vysakh | Malayalam,LifeofShazzam,2026-08-17 03:07:49+00:00,304791,15283,710
2yN3TXF0DZY,AAJ BANAUNGA 50 STREAK ⭐🚀GO FOR 300K ?,DEVBRAT LIVE,2026-08-19 19:50:33+00:00,777004,8425,1
SQ4jZ-EAL88,Vaaroon Forever (Official Video) | Mirzapur The Movie | Shreya Ghoshal | Romy | Anand B | Ginny D,Excel Movies,2026-08-18 08:26:50+00:00,7639686,86729,2159
DOjv2xcgsqk,"ଦଣ୍ଡକାଳୀ | Dandakali | Official Teaser | New Odia Movie | Sidhant Mohapatra, Suryamayee",Amara Muzik Odia,2026-08-19 10:30:06+00:00,45301,2845,232
