velocity_rank,video_id,title,channel,views,likes,comments,age_hours,views_per_hour,engagement_rate,velocity_score,trend_strength,trend_status,category
1,X1aFkAkFASk,Avengers: Doomsday | Special Look | In Theaters December 18,Marvel Entertainment,31355626,1295618,57396,158.20286847999998,198198.84621095844,0.0431505975992952,206751.2448684521,81.08,EXPLODING,Movies & Entertainment
2,rbQEoVzHNSE,"Prem Keetanu | Official Teaser |Veer, Aparshakti, Aafiya, Nikhil, Rakesh B, Apoorv| In Cinemas 2 Oct",Avanika Films,10382367,3072,218,107.89120181333334,96229.96894559509,0.0003168834235969,96260.4626276072,29.98,DECLINING,Movies & Entertainment
3,SQ4jZ-EAL88,Vaaroon Forever (Official Video) | Mirzapur The Movie | Shreya Ghoshal | Romy | Anand B | Ginny D,Excel Movies,7639686,86729,2159,81.8614795911111,93324.553112885,0.0116350331675935,94410.38738370426,30.69,DECLINING,Movies & Entertainment
4,QnQnz9G2LNw,MALLEPOOLA PALLAKI (Song) | Ravi Teja | GV Prakash | Dappu Srinu | Shiva Nirvana | Irumudi,T-Series Telugu,8289412,178581,4802,123.75203514666669,66984.04587993784,0.0221225582707193,68465.9043381253,27.52,DECLINING,Music
5,8NiMCt2o-uQ,Khalifa Trailer - Prithviraj Sukumaran | Vysakh | Jinu V Abhraham | Jakes Bejoy,Sony Music Malayalam,4002981,101135,5142,123.26425736888888,32474.791033871323,0.0265494640119451,33336.979329720525,17.43,DECLINING,Music
6,oi2QgPH61JM,Black Myth: Zhong Kui – 15 Minutes Gameplay Trailer,Black Myth,1079772,81888,9001,40.30203514666667,26791.99688230401,0.0841742516012639,29047.19316877535,29.33,DECLINING,Gaming
7,rkV7--wYUJ8,"Toh Phir Aao - New Version | Lyric Video | Awarapan 2 | Emraan | Mithoon, Mustafa, Sayeed, Subodhh",Sony Music India,2912054,45624,2081,103.50509070222222,28134.403634095645,0.0163819077530842,28595.298839117437,12.98,DECLINING,Music
8,ZBFzUSdS2nI,BiiiG,BIGBANG - Topic,1280382,39351,2365,57.25925736888889,22361.135278985992,0.0325809016371676,23089.681228006033,14.77,DECLINING,Other
9,YhlT3olnrbQ,GTA 5 LIVE  #gta5 #gtav #gaming,PAJI IS LIVE,826586,2948,0,38.865090702222226,21268.083646920128,0.0035664770513896,21343.935779173906,6.6,DECLINING,Gaming
10,kwkPGYJkzek,🔴LIVE GTA 5 GAMEPLAY | RAAJOO GAMING,Raajoo Gaming,837196,3116,0,40.407035146666665,20719.065305365853,0.0037219480265075,20796.180589590243,6.52,DECLINING,Gaming
11,2yN3TXF0DZY,AAJ BANAUNGA 50 STREAK ⭐🚀GO FOR 300K ?,DEVBRAT LIVE,777004,8425,1,46.466201813333335,16721.917645032074,0.0108442170181878,16903.253748935065,7.37,DECLINING,Other
12,ZYIWPnkXz5o,Dhanda Nyoliwala - Panamera (Official Music Video),Dhanda Nyoliwala,1611793,100046,5117,108.8067573688889,14813.353866759564,0.0652459714119617,15779.865529665432,21.6,DECLINING,Music
13,xc6t43BS2Dk,We Faked Our Death in Minecraft..,Carry Depie,779520,14336,772,54.30425736888889,14354.675632606844,0.0193811576354679,14632.885863848407,9.01,DECLINING,Gaming
14,L-Az6_o6yJw,I MADE EVERY GOD ARMOUR IN MINECRAFT😱| Fleet Kingdom,Anshu Bisht,756991,51406,3968,58.79925736888889,12874.159196448109,0.0731501431324811,13815.905784378632,22.61,DECLINING,Gaming
15,GZ0Nu2CVZb4,I Became a GIRL & PRANKED Girl Streamers,SATVIK,956602,26444,2461,78.77814625777778,12142.98692520395,0.0302163282117327,12509.903403606691,11.39,DECLINING,Comedy
16,Wr-nh-9KdxU,Carry vs FRIENDS STATUE Chunk Battle In Minecraft!,Karry Kraft,695277,9196,434,58.89870181333333,11804.623507722288,0.0138505947989074,11968.124564681406,6.89,DECLINING,Gaming
17,7vcOx7lXK7s,I am cooked... | Last Pirates,ProBoii,680756,25557,2065,75.23175736888889,9048.785031858337,0.0405754778510949,9415.943808497825,13.13,DECLINING,Other
18,wQAXX0y86Ko,Toxic English Trailer Review | Yogi Bolta Hai,YOGI BOLTA HAI,301540,12384,353,39.04286848,7723.305477784403,0.0422398355110433,8049.536630767556,12.98,DECLINING,Movies & Entertainment
